"날짜","종가","오픈","고가","저가","변동 %"
"2013년 06월 14일","1,127.70","1,129.80","1,131.50","1,125.30","-0.23%"
"2013년 06월 13일","1,130.25","1,128.76","1,137.35","1,128.76","0.18%"
"2013년 06월 12일","1,128.26","1,133.01","1,135.35","1,127.25","-0.42%"
"2013년 06월 11일","1,133.01","1,127.64","1,138.15","1,127.64","0.43%"
"2013년 06월 10일","1,128.14","1,118.12","1,128.60","1,118.12","0.94%"
"2013년 06월 07일","1,117.62","1,119.35","1,119.35","1,107.05","-0.13%"
"2013년 06월 06일","1,119.10","1,118.75","1,119.10","1,118.55","0.01%"
"2013년 06월 05일","1,119.00","1,123.42","1,125.50","1,115.25","-0.39%"
"2013년 06월 04일","1,123.36","1,119.79","1,123.54","1,119.45","0.29%"
"2013년 06월 03일","1,120.09","1,131.26","1,131.26","1,118.11","-0.99%"
"2013년 05월 31일","1,131.26","1,129.33","1,131.30","1,124.25","0.20%"
"2013년 05월 30일","1,129.03","1,132.58","1,132.58","1,126.55","-0.30%"
"2013년 05월 29일","1,132.45","1,128.39","1,134.03","1,128.39","0.37%"
"2013년 05월 28일","1,128.27","1,122.45","1,128.27","1,119.60","0.51%"
"2013년 05월 27일","1,122.60","1,127.92","1,130.10","1,120.75","-0.50%"
"2013년 05월 24일","1,128.22","1,129.00","1,131.95","1,123.45","-0.05%"
"2013년 05월 23일","1,128.80","1,114.30","1,129.30","1,114.30","1.32%"
"2013년 05월 22일","1,114.05","1,110.70","1,114.27","1,110.70","0.23%"
"2013년 05월 21일","1,111.50","1,118.69","1,118.69","1,110.80","-0.57%"
"2013년 05월 20일","1,117.91","1,117.55","1,120.53","1,115.82","-0.03%"
"2013년 05월 17일","1,118.27","1,118.49","1,118.49","1,117.28","0.05%"
"2013년 05월 16일","1,117.74","1,114.82","1,118.18","1,112.50","0.26%"
"2013년 05월 15일","1,114.82","1,109.82","1,115.30","1,109.82","0.43%"
"2013년 05월 14일","1,110.07","1,113.57","1,114.25","1,106.45","-0.29%"
"2013년 05월 13일","1,113.27","1,106.15","1,116.75","1,106.15","0.64%"
"2013년 05월 10일","1,106.15","1,091.78","1,107.65","1,091.78","1.30%"
"2013년 05월 09일","1,091.98","1,086.35","1,092.48","1,082.15","0.50%"
"2013년 05월 08일","1,086.50","1,090.50","1,090.50","1,086.40","-0.35%"
"2013년 05월 07일","1,090.30","1,094.93","1,096.00","1,090.07","-0.43%"
"2013년 05월 06일","1,094.98","1,097.35","1,097.35","1,092.35","-0.23%"
"2013년 05월 03일","1,097.50","1,102.58","1,102.70","1,095.82","-0.46%"
"2013년 05월 02일","1,102.53","1,100.60","1,102.75","1,098.15","0.12%"
"2013년 05월 01일","1,101.25","1,101.91","1,102.89","1,100.90","-0.03%"
"2013년 04월 30일","1,101.61","1,103.25","1,104.65","1,100.55","-0.24%"
"2013년 04월 29일","1,104.24","1,111.03","1,111.03","1,104.24","-0.63%"
"2013년 04월 26일","1,111.23","1,112.00","1,112.75","1,107.55","-0.05%"
"2013년 04월 25일","1,111.80","1,117.24","1,117.24","1,111.38","-0.48%"
"2013년 04월 24일","1,117.14","1,119.62","1,121.15","1,117.14","-0.22%"
"2013년 04월 23일","1,119.62","1,119.86","1,122.95","1,116.65","-0.02%"
"2013년 04월 22일","1,119.86","1,119.38","1,124.65","1,118.75","0.03%"
"2013년 04월 19일","1,119.48","1,119.93","1,123.15","1,115.85","-0.03%"
"2013년 04월 18일","1,119.78","1,120.82","1,125.70","1,118.20","-0.11%"
"2013년 04월 17일","1,121.03","1,113.95","1,122.63","1,110.45","0.64%"
"2013년 04월 16일","1,113.95","1,120.04","1,124.85","1,113.95","-0.53%"
"2013년 04월 15일","1,119.94","1,129.45","1,131.50","1,118.03","-0.85%"
"2013년 04월 12일","1,129.50","1,129.72","1,133.50","1,128.30","-0.03%"
"2013년 04월 11일","1,129.87","1,130.55","1,132.55","1,126.05","-0.50%"
"2013년 04월 10일","1,135.55","1,139.20","1,141.40","1,135.10","-0.35%"
"2013년 04월 09일","1,139.50","1,142.53","1,145.30","1,135.30","-0.29%"
"2013년 04월 08일","1,142.76","1,137.68","1,142.96","1,134.25","0.45%"
"2013년 04월 05일","1,137.68","1,124.93","1,138.43","1,123.65","1.13%"
"2013년 04월 04일","1,124.93","1,117.80","1,126.05","1,117.80","0.63%"
"2013년 04월 03일","1,117.88","1,118.49","1,123.92","1,116.28","-0.03%"
"2013년 04월 02일","1,118.17","1,114.55","1,118.79","1,110.10","0.31%"
"2013년 04월 01일","1,114.72","1,111.53","1,117.28","1,111.53","0.30%"
"2013년 03월 29일","1,111.35","1,113.44","1,115.00","1,110.10","-0.19%"
"2013년 03월 28일","1,113.44","1,111.70","1,115.40","1,108.50","0.14%"
"2013년 03월 27일","1,111.90","1,107.87","1,112.26","1,106.00","0.37%"
"2013년 03월 26일","1,107.82","1,111.45","1,113.25","1,104.15","-0.33%"
"2013년 03월 25일","1,111.50","1,119.70","1,119.70","1,110.20","-0.70%"
"2013년 03월 22일","1,119.35","1,115.55","1,119.45","1,115.45","0.28%"
"2013년 03월 21일","1,116.20","1,115.60","1,118.10","1,114.30","0.02%"
"2013년 03월 20일","1,116.03","1,113.38","1,120.35","1,113.38","0.24%"
"2013년 03월 19일","1,113.33","1,114.51","1,114.51","1,107.30","-0.11%"
"2013년 03월 18일","1,114.56","1,110.64","1,117.35","1,110.64","0.35%"
"2013년 03월 15일","1,110.64","1,108.03","1,114.15","1,106.15","0.26%"
"2013년 03월 14일","1,107.78","1,098.62","1,110.70","1,098.62","0.83%"
"2013년 03월 13일","1,098.67","1,095.53","1,099.80","1,095.53","0.29%"
"2013년 03월 12일","1,095.53","1,094.15","1,098.25","1,093.15","0.10%"
"2013년 03월 11일","1,094.45","1,089.70","1,103.05","1,089.70","0.45%"
"2013년 03월 08일","1,089.60","1,087.94","1,092.95","1,085.35","0.17%"
"2013년 03월 07일","1,087.74","1,084.81","1,088.25","1,084.81","0.27%"
"2013년 03월 06일","1,084.76","1,086.48","1,086.48","1,082.10","-0.17%"
"2013년 03월 05일","1,086.63","1,091.01","1,091.01","1,085.75","-0.40%"
"2013년 03월 04일","1,091.01","1,084.25","1,093.85","1,084.25","0.59%"
"2013년 03월 01일","1,084.65","1,084.65","1,084.65","1,084.65","0.03%"
"2013년 02월 28일","1,084.35","1,085.13","1,085.13","1,081.15","-0.05%"
"2013년 02월 27일","1,084.88","1,089.62","1,089.62","1,083.20","-0.49%"
"2013년 02월 26일","1,090.27","1,086.85","1,090.86","1,086.85","0.35%"
"2013년 02월 25일","1,086.50","1,085.53","1,089.65","1,085.05","0.07%"
"2013년 02월 22일","1,085.73","1,087.50","1,090.50","1,084.50","-0.14%"
"2013년 02월 21일","1,087.25","1,080.43","1,087.25","1,080.43","0.61%"
"2013년 02월 20일","1,080.68","1,080.70","1,080.75","1,076.70","0.02%"
"2013년 02월 19일","1,080.50","1,083.81","1,083.81","1,079.87","-0.30%"
"2013년 02월 18일","1,083.71","1,078.40","1,085.60","1,078.40","0.44%"
"2013년 02월 15일","1,079.00","1,086.14","1,086.14","1,077.40","-0.60%"
"2013년 02월 14일","1,085.54","1,086.22","1,087.00","1,083.30","-0.10%"
"2013년 02월 13일","1,086.67","1,084.75","1,089.65","1,084.75","-0.61%"
"2013년 02월 12일","1,093.38","1,095.75","1,098.15","1,089.65","-0.24%"
"2013년 02월 11일","1,096.00","1,096.00","1,096.00","1,096.00","0.00%"
"2013년 02월 08일","1,096.00","1,090.65","1,097.40","1,090.20","0.51%"
"2013년 02월 07일","1,090.40","1,089.25","1,091.25","1,087.15","0.08%"
"2013년 02월 06일","1,089.50","1,086.67","1,091.90","1,083.90","0.24%"
"2013년 02월 05일","1,086.87","1,090.05","1,092.10","1,084.00","-0.27%"
"2013년 02월 04일","1,089.80","1,097.45","1,097.45","1,083.65","-0.49%"
"2013년 02월 01일","1,095.19","1,087.71","1,098.55","1,086.30","0.64%"
"2013년 01월 31일","1,088.26","1,086.80","1,091.85","1,086.80","0.18%"
"2013년 01월 30일","1,086.30","1,084.17","1,087.82","1,079.05","0.20%"
"2013년 01월 29일","1,084.12","1,091.62","1,093.60","1,082.30","-0.71%"
"2013년 01월 28일","1,091.92","1,076.03","1,094.40","1,076.03","1.52%"
"2013년 01월 25일","1,075.58","1,068.55","1,075.58","1,068.55","0.60%"
"2013년 01월 24일","1,069.15","1,067.87","1,070.85","1,066.55","0.18%"
"2013년 01월 23일","1,067.19","1,062.98","1,067.57","1,062.97","0.33%"
"2013년 01월 22일","1,063.66","1,064.70","1,068.65","1,061.75","-0.06%"
"2013년 01월 21일","1,064.35","1,058.50","1,064.55","1,057.50","0.57%"
"2013년 01월 18일","1,058.35","1,058.17","1,058.75","1,055.25","0.03%"
"2013년 01월 17일","1,057.99","1,058.53","1,059.97","1,056.58","-0.08%"
"2013년 01월 16일","1,058.80","1,057.57","1,060.50","1,056.25","0.12%"
"2013년 01월 15일","1,057.57","1,056.45","1,058.07","1,054.75","0.10%"
"2013년 01월 14일","1,056.50","1,056.54","1,056.94","1,055.90","0.00%"
"2013년 01월 11일","1,056.49","1,058.67","1,058.67","1,054.75","-0.20%"
"2013년 01월 10일","1,058.57","1,060.65","1,063.25","1,058.42","-0.20%"
"2013년 01월 09일","1,060.65","1,064.30","1,064.30","1,060.20","-0.33%"
"2013년 01월 08일","1,064.15","1,063.16","1,064.35","1,062.30","0.09%"
"2013년 01월 07일","1,063.21","1,062.39","1,065.05","1,060.45","0.08%"
"2013년 01월 04일","1,062.39","1,063.20","1,065.25","1,062.25","-0.08%"
"2013년 01월 03일","1,063.20","1,063.55","1,064.85","1,061.15","-0.03%"
"2013년 01월 02일","1,063.50","1,066.10","1,066.40","1,063.30","-0.01%"
"2013년 01월 01일","1,063.64","1,063.64","1,063.64","1,063.64","0.00%"
"2012년 12월 31일","1,063.64","1,067.54","1,067.54","1,063.18","-0.37%"
"2012년 12월 28일","1,067.64","1,072.51","1,072.51","1,067.24","-0.45%"
"2012년 12월 27일","1,072.51","1,073.50","1,074.65","1,071.72","-0.09%"
"2012년 12월 26일","1,073.50","1,073.50","1,074.85","1,073.20","0.00%"
"2012년 12월 25일","1,073.50","1,073.50","1,073.50","1,073.50","0.00%"
"2012년 12월 24일","1,073.50","1,075.90","1,076.50","1,073.50","-0.22%"
"2012년 12월 21일","1,075.90","1,074.80","1,076.65","1,074.30","0.12%"
"2012년 12월 20일","1,074.60","1,072.30","1,075.20","1,072.10","0.20%"
"2012년 12월 19일","1,072.50","1,073.25","1,073.25","1,071.82","-0.05%"
"2012년 12월 18일","1,073.00","1,070.45","1,073.55","1,070.45","0.05%"
"2012년 12월 17일","1,072.50","1,074.40","1,074.40","1,072.50","-0.25%"
"2012년 12월 14일","1,075.19","1,073.35","1,075.45","1,073.35","0.08%"
"2012년 12월 13일","1,074.35","1,071.85","1,074.75","1,071.25","0.07%"
"2012년 12월 12일","1,073.60","1,074.65","1,077.55","1,073.50","-0.15%"
"2012년 12월 11일","1,075.25","1,077.83","1,078.10","1,075.13","-0.23%"
"2012년 12월 10일","1,077.68","1,081.81","1,081.81","1,077.68","-0.40%"
"2012년 12월 07일","1,082.06","1,083.30","1,084.45","1,081.50","-0.13%"
"2012년 12월 06일","1,083.50","1,082.69","1,084.37","1,082.30","0.07%"
"2012년 12월 05일","1,082.69","1,084.01","1,084.60","1,081.05","-0.12%"
"2012년 12월 04일","1,084.01","1,083.35","1,085.00","1,083.35","0.06%"
"2012년 12월 03일","1,083.35","1,082.20","1,084.80","1,082.10","0.08%"
"2012년 11월 30일","1,082.50","1,083.90","1,085.10","1,082.50","-0.07%"
"2012년 11월 29일","1,083.30","1,085.50","1,085.75","1,083.30","-0.20%"
"2012년 11월 28일","1,085.50","1,086.57","1,088.77","1,084.50","-0.10%"
"2012년 11월 27일","1,086.57","1,086.02","1,086.82","1,083.80","0.05%"
"2012년 11월 26일","1,086.02","1,084.30","1,086.37","1,084.20","0.04%"
"2012년 11월 23일","1,085.55","1,085.76","1,087.45","1,084.55","-0.01%"
"2012년 11월 22일","1,085.61","1,082.40","1,086.20","1,080.40","0.29%"
"2012년 11월 21일","1,082.50","1,083.08","1,084.85","1,081.90","-0.05%"
"2012년 11월 20일","1,083.08","1,086.50","1,086.50","1,081.30","-0.31%"
"2012년 11월 19일","1,086.50","1,092.50","1,092.50","1,086.10","-0.55%"
"2012년 11월 16일","1,092.50","1,088.81","1,092.70","1,087.30","0.35%"
"2012년 11월 15일","1,088.71","1,086.40","1,089.22","1,086.20","0.20%"
"2012년 11월 14일","1,086.50","1,089.94","1,089.94","1,085.10","-0.31%"
"2012년 11월 13일","1,089.84","1,090.15","1,091.40","1,088.90","-0.01%"
"2012년 11월 12일","1,090.00","1,087.75","1,090.40","1,087.25","0.18%"
"2012년 11월 09일","1,088.00","1,089.47","1,093.05","1,087.20","-0.13%"
"2012년 11월 08일","1,089.37","1,088.20","1,091.67","1,086.80","0.22%"
"2012년 11월 07일","1,087.00","1,090.32","1,091.10","1,085.45","-0.30%"
"2012년 11월 06일","1,090.22","1,091.20","1,092.30","1,090.07","-0.07%"
"2012년 11월 05일","1,091.00","1,090.90","1,093.15","1,090.90","-0.06%"
"2012년 11월 02일","1,091.65","1,091.65","1,093.50","1,091.05","0.09%"
"2012년 11월 01일","1,090.67","1,090.32","1,093.04","1,090.14","0.03%"
"2012년 10월 31일","1,090.32","1,091.55","1,091.75","1,089.57","-0.09%"
"2012년 10월 30일","1,091.35","1,097.66","1,097.66","1,090.20","-0.61%"
"2012년 10월 29일","1,098.01","1,097.58","1,098.16","1,094.55","0.04%"
"2012년 10월 26일","1,097.58","1,096.85","1,098.75","1,095.15","-0.06%"
"2012년 10월 25일","1,098.20","1,103.10","1,103.50","1,097.60","-0.53%"
"2012년 10월 24일","1,104.00","1,105.50","1,106.30","1,102.90","0.05%"
"2012년 10월 23일","1,103.45","1,100.75","1,103.65","1,100.75","-0.10%"
"2012년 10월 22일","1,104.60","1,105.76","1,106.90","1,104.00","-0.10%"
"2012년 10월 19일","1,105.66","1,105.05","1,106.70","1,102.84","0.06%"
"2012년 10월 18일","1,105.05","1,104.78","1,105.90","1,103.96","0.01%"
"2012년 10월 17일","1,104.89","1,106.50","1,106.50","1,103.80","-0.15%"
"2012년 10월 16일","1,106.59","1,110.49","1,110.49","1,106.15","-0.35%"
"2012년 10월 15일","1,110.50","1,111.00","1,114.20","1,109.98","-0.05%"
"2012년 10월 12일","1,111.00","1,113.07","1,113.60","1,110.10","-0.19%"
"2012년 10월 11일","1,113.17","1,114.49","1,117.55","1,112.67","-0.11%"
"2012년 10월 10일","1,114.42","1,111.82","1,115.90","1,111.82","0.25%"
"2012년 10월 09일","1,111.62","1,111.74","1,112.10","1,109.80","-0.01%"
"2012년 10월 08일","1,111.74","1,110.22","1,112.99","1,109.50","0.12%"
"2012년 10월 05일","1,110.42","1,112.32","1,112.35","1,107.60","-0.16%"
"2012년 10월 04일","1,112.23","1,113.46","1,114.85","1,111.98","-0.11%"
"2012년 10월 03일","1,113.46","1,113.48","1,113.48","1,113.46","-0.00%"
"2012년 10월 02일","1,113.48","1,112.59","1,114.50","1,111.40","0.08%"
"2012년 10월 01일","1,112.59","1,113.47","1,114.29","1,112.59","-0.10%"
"2012년 09월 28일","1,113.67","1,116.63","1,116.63","1,110.90","-0.27%"
"2012년 09월 27일","1,116.63","1,119.41","1,120.30","1,116.45","-0.25%"
"2012년 09월 26일","1,119.41","1,118.53","1,122.60","1,118.53","0.06%"
"2012년 09월 25일","1,118.72","1,120.67","1,121.40","1,118.00","-0.18%"
"2012년 09월 24일","1,120.72","1,119.60","1,122.10","1,118.50","0.11%"
"2012년 09월 21일","1,119.50","1,118.56","1,121.80","1,118.20","0.08%"
"2012년 09월 20일","1,118.65","1,116.34","1,123.90","1,115.00","0.22%"
"2012년 09월 19일","1,116.14","1,118.70","1,119.10","1,114.87","-0.25%"
"2012년 09월 18일","1,118.90","1,116.60","1,119.40","1,116.60","0.21%"
"2012년 09월 17일","1,116.50","1,117.15","1,117.15","1,113.40","-0.05%"
"2012년 09월 14일","1,117.05","1,128.62","1,128.62","1,116.60","-1.04%"
